scene_label,scene_kind,zoom_label,image_count,mean_y_median,mean_y_delta_vs_flat,std_y_median,std_y_delta_vs_flat,g_over_r_median,g_over_r_delta_vs_flat,g_over_b_median,g_over_b_delta_vs_flat,green_excess_median,green_excess_delta_vs_flat,chroma_mottle_std_median,chroma_mottle_std_delta_vs_flat,edge_density_median,edge_density_delta_vs_flat,high_freq_energy_median,high_freq_energy_delta_vs_flat,hot_pixel_ratio_median,hot_pixel_ratio_delta_vs_dark,dark_noise_std_median,dark_noise_std_delta_vs_dark
building,outdoor,1x,150,135.1338119506836,-15.94195556640625,58.37559509277344,43.09932994842529,1.0140194764020842,0.014019483021279422,1.0032400041944174,0.0032400107993699745,1.1431999206542969,1.1431999206542969,2.2006778717041016,2.2006778717041016,0.07712239583333333,-0.1231199363425926,579.5379943847656,-644.8675231933594,0.0,-0.0014134837962962964,7.635012626647949,-0.7356181144714355
building,outdoor,3x,150,130.2867431640625,-17.0023193359375,64.01045036315918,55.60775423049927,1.0216097243812934,0.02160973117066367,1.004458197561033,0.004458204350403228,1.6766166687011719,1.6766166687011719,0.9821507334709167,0.9821507334709167,0.04231360918209877,0.03090735918209877,310.0481262207031,-319.9619140625,0.0,,7.468950271606445,
building,outdoor,5x,150,129.33362579345703,-18.089874267578125,66.49049758911133,58.61383605003357,1.0365992160648392,0.037242355798388305,1.0030668104102747,0.0042709589027658534,2.0289039611816406,2.165477752685547,1.5268563032150269,1.4872386530041695,0.029759596836419752,0.017699893904320987,215.2553482055664,-429.24031829833984,0.0,,7.500600099563599,
building,outdoor,7x,150,132.50431060791016,-15.94647216796875,65.70453262329102,53.27221870422363,1.0548306939491607,0.056447464319392626,1.0032128657275523,0.005949894963735103,3.540142059326172,3.863597869873047,1.361045002937317,1.2600510753691196,0.012877845293209877,-0.0027915219907407394,112.38858032226562,-556.8950500488281,0.0,-0.001375144675925926,6.29008936882019,-2.1456172466278076
mixed,outdoor,1x,150,135.30044555664062,-15.775321960449219,69.15956497192383,53.883299827575684,1.0207365846056746,0.020736591224869816,1.0211254756200372,0.021125482224989778,2.1704940795898438,2.1704940795898438,2.2708016633987427,2.2708016633987427,0.07922453703703704,-0.1210177951388889,508.6434326171875,-715.7620849609375,0.0,-0.0014134837962962964,8.065896034240723,-0.3047347068786621
mixed,outdoor,3x,150,138.61492156982422,-8.674140930175781,57.45678901672363,49.05409288406372,1.0306227046470955,0.030622711436465777,1.0003150375942584,0.00031504438362872644,2.123157501220703,2.123157501220703,1.3011000156402588,1.3011000156402588,0.07844063464506174,0.06703438464506173,410.5451354980469,-219.46490478515625,0.0,,3.6805654764175415,
mixed,outdoor,5x,150,141.93556213378906,-5.487937927246094,49.26679039001465,41.39012885093689,1.0365525073915265,0.037195647125075615,0.9850001362683241,-0.01379571523918477,1.4288215637207031,1.5653953552246094,1.4224397540092468,1.3828221037983894,0.08705150462962963,0.07499180169753086,523.5415649414062,-120.9541015625,0.0,,3.4825764894485474,
mixed,outdoor,7x,150,144.78799438476562,-3.6627883911132812,33.1551628112793,20.722848892211914,1.0479025881249715,0.04951935849520339,0.9843673716859217,-0.012895599077895503,2.1554107666015625,2.4788665771484375,1.4719845652580261,1.3709906376898289,0.05733482831790124,0.04166546103395062,440.8662567138672,-228.41737365722656,0.0,-0.001375144675925926,2.5138739347457886,-5.9218326807022095
road_shaded,outdoor,1x,300,129.51895904541016,-21.556808471679688,66.97533798217773,51.69907283782959,1.0567283121692257,0.056728318788420884,1.025815251382086,0.025815257987038542,5.186317443847656,5.186317443847656,3.001025438308716,3.001025438308716,0.17162736304012344,-0.028614969135802498,1711.5660400390625,487.1605224609375,0.0,-0.0014134837962962964,7.475257873535156,-0.8953728675842285
road_shaded,outdoor,3x,300,128.70979690551758,-18.579265594482422,67.35106658935547,58.94837045669556,1.0535928800390693,0.053592886828439545,1.0197223149806631,0.019722321770033413,4.566246032714844,4.566246032714844,2.3738919496536255,2.3738919496536255,0.11044053819444444,0.09903428819444443,1070.0372314453125,440.0271911621094,0.0,,6.989961385726929,
road_shaded,outdoor,5x,300,128.37296676635742,-19.050533294677734,61.12151908874512,53.24485754966736,1.0558068912258936,0.056450030959442676,1.0127623370475707,0.013966485540061857,3.189241409301758,3.325815200805664,2.2119858264923096,2.172368176281452,0.09059051890432099,0.07853081597222222,672.2804870605469,27.784820556640625,0.0,,6.270151615142822,
road_shaded,outdoor,7x,300,139.2956314086914,-9.1551513671875,46.00369644165039,33.57138252258301,1.0228460500488845,0.024462820419116404,0.9858053628266386,-0.011457607937178649,0.4672126770019531,0.7906684875488281,1.8493670225143433,1.748373094946146,0.06275221836419753,0.047082851080246915,297.8845520019531,-371.3990783691406,0.0,-0.001375144675925926,4.610335111618042,-3.825371503829956
