burst_id,time_label,weather_label,scene_label,scene_kind,zoom_label,frame_count,width,height,burst_temporal_noise_mean,burst_temporal_noise_median,burst_temporal_noise_p90,burst_temporal_noise_max,burst_mean_y_std,burst_mean_y_range,burst_mean_y_drift,burst_g_over_r_range,burst_g_over_b_range,burst_green_excess_range,burst_edge_density_range,burst_high_freq_range,burst_high_freq_rel_range,unstable_luma,unstable_color,unstable_detail,unstable_auto,hot_persistence_count_25,hot_persistence_count_50,hot_persistence_count_75,hot_persistence_ratio_25,hot_persistence_ratio_50,hot_persistence_ratio_75,map_temporal_std,map_hot_persistence,map_hot_fixed_mask,map_flat_shading,map_flat_green_excess
morning/cloudy/building/1x,morning,cloudy,building,outdoor,1x,50,1920,1080,20.02492904663086,16.050220489501953,42.17255325317383,92.27474975585938,1.2244707345962524,4.50836181640625,-4.4766082763671875,0.0025905370712280273,0.004449248313903809,0.47027587890625,0.026494015008211136,312.75732421875,0.8966657279211984,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/building/3x,morning,cloudy,building,outdoor,3x,50,1920,1080,3.280210494995117,2.376215696334839,5.927056789398193,98.81881713867188,0.16463346779346466,0.5728912353515625,-0.557373046875,0.0031424760818481445,0.002344965934753418,0.2532958984375,0.013559993356466293,239.05941772460938,1.2600495878616191,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/building/5x,morning,cloudy,building,outdoor,5x,50,1920,1080,3.3905980587005615,2.289104461669922,5.720874309539795,80.03726959228516,0.3501156270503998,1.0905914306640625,-0.22845458984375,0.004041314125061035,0.001959562301635742,0.3293876647949219,0.007762346416711807,138.68348693847656,0.8231654715753666,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/building/7x,morning,cloudy,building,outdoor,7x,50,1920,1080,4.4621148109436035,2.338888645172119,10.900086784362806,79.58599853515625,0.9064691662788391,4.5140380859375,4.5140380859375,0.0057746171951293945,0.01000988483428955,0.8266754150390625,0.016067707911133766,84.92787170410156,1.4817311198615686,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/mixed/1x,morning,cloudy,mixed,outdoor,1x,50,1920,1080,3.6278116703033447,2.184032440185547,7.853253412246704,114.81609344482422,0.12054251879453659,0.4652862548828125,-0.383087158203125,0.0007756948471069336,0.0033551454544067383,0.26392364501953125,0.002438753843307495,77.30377197265625,0.15198028100533034,False,False,False,False,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/mixed/3x,morning,cloudy,mixed,outdoor,3x,50,1920,1080,5.987236499786377,4.121601581573486,12.043670654296875,95.50263977050781,1.062630534172058,3.6859130859375,-3.6859130859375,0.0036156177520751953,0.006654143333435059,0.4811248779296875,0.022528938949108124,363.0373229980469,0.884281144077745,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/mixed/5x,morning,cloudy,mixed,outdoor,5x,50,1920,1080,8.969305992126465,6.711184024810791,17.830313682556152,97.44379425048828,0.5083736181259155,2.1222381591796875,-2.118438720703125,0.002001523971557617,0.0029460787773132324,0.34720611572265625,0.04521894454956055,552.7308349609375,0.8566563348197409,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/mixed/7x,morning,cloudy,mixed,outdoor,7x,50,1920,1080,12.067047119140625,8.227004051208496,26.579421997070312,96.1970443725586,0.09240120649337769,0.4049530029296875,-0.303131103515625,0.0058634281158447266,0.0050522685050964355,0.6172561645507812,0.0871305912733078,677.613525390625,1.2416361361383053,False,False,True,True,4,0,0,1.9290123456790124e-06,0.0,0.0,,,,,
morning/cloudy/road_shaded/1x,morning,cloudy,road_shaded,outdoor,1x,100,1920,1080,39.54492950439453,36.884864807128906,72.02351150512696,122.3466796875,1.3603057861328125,4.078437805175781,-2.2480392456054688,0.004973173141479492,0.006525397300720215,0.6375236511230469,0.04397521913051605,1047.7158203125,0.6418794123515965,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
morning/cloudy/road_shaded/3x,morning,cloudy,road_shaded,outdoor,3x,100,1920,1080,42.93761444091797,42.93796157836914,67.84756164550782,120.0280990600586,3.0834667682647705,7.271705627441406,6.33843994140625,0.05572044849395752,0.0341801643371582,5.230064392089844,0.08717737346887589,1118.9525146484375,0.9822652448380113,False,False,True,True,0,0,0,0.0,0.0,0.0,,,,,
