comparison_type,threshold,burst_a,burst_b,scene_a,scene_b,zoom_a,zoom_b,count_a,count_b,intersection_count,union_count,jaccard,intersection_ratio_a,intersection_ratio_b
dark_vs_dark,0.25,morning/sunny/dark/1x,morning/sunny/dark/7x,dark,dark,1x,7x,3435,3068,1437,5066,0.2836557441208733,0.4183406112319241,0.4683833114509833
dark_vs_dark,0.5,morning/sunny/dark/1x,morning/sunny/dark/7x,dark,dark,1x,7x,1096,975,433,1638,0.26434676418538045,0.39507299234026183,0.4441025636470743
dark_vs_dark,0.75,morning/sunny/dark/1x,morning/sunny/dark/7x,dark,dark,1x,7x,266,261,96,431,0.22273781850872895,0.36090225428232237,0.36781609054476594
dark_vs_dark,0.9,morning/sunny/dark/1x,morning/sunny/dark/7x,dark,dark,1x,7x,107,92,29,170,0.17058823429065745,0.27102803485020527,0.31521738787807185
flat_vs_dark_union,0.25,morning/sunny/flat/1x,dark_union,flat,dark,1x,all,444,5066,2,5508,0.0003631082061795373,0.004504504494359224,0.00039478878792049174
flat_vs_dark_union,0.25,morning/sunny/flat/3x,dark_union,flat,dark,3x,all,1377,5066,11,6432,0.001710199004709235,0.007988380531598852,0.0021713383335627045
flat_vs_dark_union,0.25,morning/sunny/flat/5x,dark_union,flat,dark,5x,all,1596,5066,17,6645,0.002558314521812142,0.01065162906600775,0.0033557046973241795
flat_vs_dark_union,0.25,morning/sunny/flat/7x,dark_union,flat,dark,7x,all,514,5066,4,5576,0.000717360114648967,0.007782101152174901,0.0007895775758409835
flat_vs_dark_union,0.5,morning/sunny/flat/1x,dark_union,flat,dark,1x,all,83,1638,0,1721,0.0,0.0,0.0
flat_vs_dark_union,0.5,morning/sunny/flat/3x,dark_union,flat,dark,3x,all,506,1638,1,2143,0.00046663555741174265,0.0019762845810745366,0.0006105006101278994
flat_vs_dark_union,0.5,morning/sunny/flat/5x,dark_union,flat,dark,5x,all,586,1638,1,2223,0.0004498425549033547,0.0017064846387261354,0.0006105006101278994
flat_vs_dark_union,0.5,morning/sunny/flat/7x,dark_union,flat,dark,7x,all,271,1638,1,1908,0.0005241090144003621,0.0036900368867526317,0.0006105006101278994
flat_vs_dark_union,0.75,morning/sunny/flat/1x,dark_union,flat,dark,1x,all,35,431,0,466,0.0,0.0,0.0
flat_vs_dark_union,0.75,morning/sunny/flat/3x,dark_union,flat,dark,3x,all,259,431,0,690,0.0,0.0,0.0
flat_vs_dark_union,0.75,morning/sunny/flat/5x,dark_union,flat,dark,5x,all,321,431,1,751,0.001331557920996594,0.0031152647878029136,0.0023201856094659267
flat_vs_dark_union,0.75,morning/sunny/flat/7x,dark_union,flat,dark,7x,all,169,431,1,599,0.0016694490790159448,0.00591715972830083,0.0023201856094659267
flat_vs_dark_union,0.9,morning/sunny/flat/1x,dark_union,flat,dark,1x,all,16,170,0,186,0.0,0.0,0.0
flat_vs_dark_union,0.9,morning/sunny/flat/3x,dark_union,flat,dark,3x,all,175,170,0,345,0.0,0.0,0.0
flat_vs_dark_union,0.9,morning/sunny/flat/5x,dark_union,flat,dark,5x,all,209,170,0,379,0.0,0.0,0.0
flat_vs_dark_union,0.9,morning/sunny/flat/7x,dark_union,flat,dark,7x,all,108,170,1,277,0.0036101082902162155,0.009259259173525379,0.005882352906574395
