scene_label,scene_kind,zoom_label,image_count,mean_y_median,mean_y_delta_vs_flat,std_y_median,std_y_delta_vs_flat,g_over_r_median,g_over_r_delta_vs_flat,g_over_b_median,g_over_b_delta_vs_flat,green_excess_median,green_excess_delta_vs_flat,chroma_mottle_std_median,chroma_mottle_std_delta_vs_flat,edge_density_median,edge_density_delta_vs_flat,high_freq_energy_median,high_freq_energy_delta_vs_flat,hot_pixel_ratio_median,hot_pixel_ratio_delta_vs_dark,dark_noise_std_median,dark_noise_std_delta_vs_dark
building,outdoor,1x,50,135.1338119506836,-15.94195556640625,55.81323051452637,40.53696537017822,1.0151027457986488,0.015102752417843979,1.0059985304065524,0.00599853701150499,1.4199905395507812,1.4199905395507812,1.481091856956482,1.481091856956482,0.07234254436728395,-0.12789978780864197,348.8003692626953,-875.6051483154297,0.0,-0.0014134837962962964,6.3636474609375,-2.0069832801818848
building,outdoor,3x,50,130.28076171875,-17.00830078125,56.23686599731445,47.83416986465454,1.0201479451904187,0.020147951979789025,1.0063293933179494,0.006329400107319638,1.7119865417480469,1.7119865417480469,0.9360982179641724,0.9360982179641724,0.0341235050154321,0.0227172550154321,189.72223663330078,-440.28780364990234,0.0,,8.317632675170898,
building,outdoor,5x,50,129.59867095947266,-17.8248291015625,58.41221618652344,50.53555464744568,1.0224744108150416,0.02311755054859077,1.0075430243429089,0.008747172835400052,1.9274311065673828,2.064004898071289,1.041131615638733,1.0015139654278755,0.029064670138888887,0.017004967206790123,168.47583770751953,-476.0198287963867,0.0,,7.298660039901733,
building,outdoor,7x,50,126.94538879394531,-21.505393981933594,65.70453262329102,53.27221870422363,1.03243123569113,0.034048006061361935,1.0062272546034836,0.00896428383966641,2.407024383544922,2.730480194091797,1.03493070602417,0.9339367784559727,0.01130955825617284,-0.004359809027777776,57.316654205322266,-611.9669761657715,0.0,-0.001375144675925926,7.547886610031128,-0.8878200054168701
mixed,outdoor,1x,50,135.30044555664062,-15.775321960449219,69.15956497192383,53.883299827575684,1.0207365846056746,0.020736591224869816,1.0211254756200372,0.021125482224989778,2.7998123168945312,2.7998123168945312,2.2708016633987427,2.2708016633987427,0.07922453703703704,-0.1210177951388889,508.6434326171875,-715.7620849609375,0.0,-0.0014134837962962964,7.251708030700684,-1.1189227104187012
mixed,outdoor,3x,50,141.65113067626953,-5.637931823730469,48.17821502685547,39.77551889419556,1.0306227046470955,0.030622711436465777,1.0061755697622958,0.006175576551666118,2.5766067504882812,2.5766067504882812,1.3011000156402588,1.3011000156402588,0.07844063464506174,0.06703438464506173,410.5451354980469,-219.46490478515625,0.0,,3.62811279296875,
mixed,outdoor,5x,50,141.74684143066406,-5.676658630371094,42.27614402770996,34.3994824886322,1.0077037789091023,0.008346918642651469,0.9932021755629226,-0.005593675944586263,0.07030487060546875,0.206878662109375,1.4224397540092468,1.3828221037983894,0.0975489486882716,0.08548924575617284,645.2188720703125,0.72320556640625,0.0,,3.3670350313186646,
mixed,outdoor,7x,50,141.42141723632812,-7.029365539550781,33.14440727233887,20.712093353271484,1.0269504102257747,0.028567180596006603,0.9822252616302738,-0.015037709133543409,0.61767578125,0.941131591796875,1.598384439945221,1.4973905123770237,0.08636429398148149,0.07069492669753087,545.742431640625,-123.54119873046875,0.00010440779320987654,-0.0012707368827160493,4.2801923751831055,-4.155514240264893
road_shaded,outdoor,1x,100,128.66236877441406,-22.41339874267578,64.87606620788574,49.5998010635376,1.0499071327781264,0.04990713939732161,1.0377903419357164,0.03779034854066898,5.562494277954102,5.562494277954102,2.9749574661254883,2.9749574661254883,0.16652681327160493,-0.03371551890432101,1632.2627563476562,407.85723876953125,0.0,-0.0014134837962962964,7.518262147903442,-0.8523685932159424
road_shaded,outdoor,3x,100,129.59320449829102,-17.695858001708984,62.14944076538086,53.74674463272095,1.045676469265052,0.045676476054422266,1.0335748573284351,0.033574864117805414,4.935634613037109,4.935634613037109,2.25799024105072,2.25799024105072,0.1305225212191358,0.11911627121913579,1139.1551513671875,509.1451110839844,0.0,,6.335648059844971,
road_shaded,outdoor,5x,100,127.88082122802734,-19.542678833007812,60.64075469970703,52.76409316062927,1.0475514967641057,0.048194636497654875,1.0263840045830148,0.027588153075505994,4.535270690917969,4.671844482421875,2.1267842650413513,2.087166614830494,0.11097101658950617,0.09891131365740741,921.4852294921875,276.98956298828125,0.0,,6.389923810958862,
road_shaded,outdoor,7x,100,139.3997802734375,-9.051002502441406,45.8308219909668,33.398508071899414,1.0228460500488845,0.024462820419116404,0.9919491858158787,-0.005313784947938549,0.757476806640625,1.0809326171875,1.7581722140312195,1.6571782864630222,0.029773823302469138,0.014104456018518521,133.94869995117188,-535.3349304199219,0.0,-0.001375144675925926,7.99756121635437,-0.43814539909362793
